Accession Number,Author,Title,Publisher,Year,Branch,Subject,Shelf,Stack
1,"Deswal, S., and Deswal, A.",Basic Course in Environmental Studies,Dhanpat Rai & Co. (P) Ltd.,2008,Applied Science & Engineering,Environmental Science,I,19
6,"Wartikar, P. N. and Wartikar, J. N.",Text Book of Applied Mathematics Vol 1,Pune Vidyarthi Griha Prakashan,2010,Applied Science & Engineering,Mathematics,H,34
66,"Theraja, B. L., and Theraja, A. K.",Text Book of Electrical Technology in S I Units Vol 1,S. Chand & Company Ltd.,2011,E & TC,Electrical Technology,A,21
141,"Subrahmanyam, N.; Lal, Brij; and Avadhanulu, M.N.",Text Book of Optics,S. Chand & Company Ltd.,2010,Applied Science & Engineering,Optics,H,15
143,"Chakrabarti, A.; Soni, M. L.; Gupta, P.V., and Bhatnagar, U.S.",Text Book of Power System Engineering,Dhanpat Rai & Co. (P) Ltd.,2010,E & TC,Power Systems,A,10
145,"Mehta, V. K., and Mehta, Rohit",Basic Electrical Engineering,S. Chand & Company Ltd.,2010,E & TC,Electrical Engineering,A,16
220,"Radhakrishnan, P.",Computer Numerical Control ( CNC) Machines,New Central Book Agency (P) Ltd.,2007,Computer,Computer,D,8
222,"Mohan, Krishna and Banerji, Meera",Developing Communication Skills,Macmillan India Ltd.,2009,Applied Science & Engineering,Communication,H,46
238,"Babu, P. Ramesh",Electrical Circuit Analysis,Scitech Publications ( india) Pvt. Ltd.,2009,E & TC,Electric Circuits,A,4
243,"Choudhury, S. K. Hajra ; Choudhury, A. K. Hajra and Roy, Nirjhar",Elements of Workshop Technology Vol 1,Media Promoters & Publishers Pvt. Ltd.,2010,Applied Science & Engineering,Workshop Technology,H,25
293,"Choudhury, S. K. Hajra ; Choudhury, A. K. Hajra and Roy, Nirjhar",Elements of Workshop Technology Vol 2,Media Promoters & Publishers Pvt. Ltd.,2010,Applied Science & Engineering,Workshop Technology,H,2
343,"Bhatt, N. D.",Engineering Drawing: Plane and Solid Geometry,Charotar publishing house Pvt. Ltd.,2010,Applied Science & Engineering,Engineering Drawing,H,19
403,"Gill, P. S.",Engineering Drawing ( Geometrical Drawing ),S. K. Katariya & Sons,2009,Applied Science & Engineering,Engineering Drawing,H,19
404,"Bandyopadhyay, Rathin",Engineering Drawing,New Central Book Agency (P) Ltd.,2007,Applied Science & Engineering,Engineering Drawing,H,19
409,"Rajput, R. K.",Heat and Mass Transfer,S. Chand & Company Ltd.,2010,Applied Science & Engineering,Thermodynamics,H,43
414,"Grewal, B. S.",Higher Engineering Mathematics,Khanna Publishers,2007,Applied Science & Engineering,Mathematics,I,3
464,"Bhatt, N. D., and Panchal, V. M.",Machine Drawing,Charotar publishing house Pvt. Ltd.,2010,Applied Science & Engineering,Machine Design,H,38
494,"Shah, H. J. and Junnarkar S. B.",Mechanics of Structures Vol 1,Charotar publishing house Pvt. Ltd.,2010,Applied Science & Engineering,Engineering Mechanics,H,34
496,"Junnarkar, S. B. and Shah, H. J.",Mechanics of Structures Vol 2,Charotar publishing house Pvt. Ltd.,2010,Applied Science & Engineering,Engineering Mechanics,H,34
498,"Kulkarni, Sulabha K.",Nanotechnology Principles and Practices,Capital Publishing Company,2009,Applied Science & Engineering,Nano Technology,I,19
505,"Wehr, M. R.; Richards, J. A. and Adair, T. W.",Physics of the Atom,Narosa Publishing House,2002,Applied Science & Engineering,Physics,H,13
507,"Shejwalkar, P. C. ; Ghanekar, Anjali and Bhivpathaki, Deepak",Principles and Practice of Management,Everest Publishing House,2011,Applied Science & Engineering,Management,H,46
516,"Kanetkar, T. P. and Kulkarni, S. V.",Surveying and Levelling Part 1,Pune Vidyarthi Griha Prakashan,2010,Applied Science & Engineering,Surveying,H,1
546,"Kanetkar, T. P. and Kulkarni, S. V.",Surveying and Levelling  Part 2,Pune Vidyarthi Griha Prakashan,2009,Applied Science & Engineering,Surveying,H,1
548,"Bharucha, Erach",Textbook of Environmental Studies,Universities Press,2010,Applied Science & Engineering,Environmental Science,I,19
578,"Goyal, R. N. and Goel, Harmendra",Textbook of Engineering Chemistry,Ane Books Pvt. Ltd.,2009,Applied Science & Engineering,Chemistry,H,6
628,"Arora, S. P. and Bindra, S. P.",Text Book of Building Construction,Dhanpat Rai & Co. (P) Ltd.,2011,Applied Science & Engineering,Buildings-Design & Construction,H,2
668,"Ballaney, P. L.",Thermal Engineering Engineering Thermodynamics & Enegry Conversion Techniques,Khanna Publishers,2010,Applied Science & Engineering,Thermal Engineering,H,39
673,"Domkundwar, S.; Kothandaraman, C. P. and Domkundwar, Anand",Course in Thermal Engineering,Dhanpat Rai & Co. (P) Ltd.,2010,Applied Science & Engineering,Thermal Engineering,H,39
702,"Datta, N. K.",Basic Electronics Engineering,New Central Book Agency (P) Ltd.,2007,E & TC,Electronics Engineering,A,14
